01 02 03 04 05 06
01 10 15 20 23 27
01 10 21 25 30 31
01 11 12 19 22 31
01 11 14 17 26 27
01 11 14 23 24 25
01 11 15 16 18 31
01 12 13 14 15 16
01 12 13 19 21 24
01 12 17 18 24 27
01 12 21 23 26 28
01 13 17 23 30 32
01 14 15 17 20 24
01 14 16 19 23 29
01 15 21 22 27 29
01 15 25 26 28 32
01 17 18 19 20 21
01 18 19 21 22 25
01 18 22 28 29 31
01 18 24 25 30 31
01 22 23 24 25 26
01 27 28 29 30 31
10 11 12 14 27 31
10 11 13 14 19 30
10 11 13 16 19 28
10 11 14 15 22 27
10 11 18 21 24 28
10 11 22 26 27 29
10 11 23 25 26 28
10 12 13 17 25 32
10 12 14 20 24 29
10 12 16 21 29 30
10 12 18 23 24 29
10 13 14 16 18 30
10 13 14 24 25 32
10 13 17 26 29 32
10 14 18 21 22 28
10 14 19 20 23 31
10 14 19 21 26 30
10 15 16 22 26 27
10 15 20 30 31 32
10 16 23 24 30 32
10 17 18 19 23 28
10 17 18 25 27 28
10 17 20 28 29 32
10 18 20 21 22 25
10 19 21 26 28 31
11 12 15 17 27 28
11 12 15 25 26 30
11 12 24 26 30 32
11 13 14 16 25 32
11 13 17 18 23 31
11 13 18 25 28 31
11 13 19 20 25 29
11 14 15 19 23 32
11 14 21 22 25 30
11 14 25 28 30 32
11 15 16 17 22 32
11 15 16 20 28 29
11 16 18 22 23 27
11 18 19 20 24 26
11 19 21 27 29 32
11 20 25 27 29 30
12 13 18 22 24 26
12 13 19 23 29 30
12 13 20 22 30 31
12 13 22 26 28 30
12 14 16 22 23 25
12 14 18 20 27 28
12 14 21 24 31 32
12 14 26 27 28 29
12 15 18 19 25 32
12 16 19 28 31 32
13 14 17 21 28 29
13 14 24 26 30 31
13 15 18 27 30 31
13 15 24 29 31 32
13 17 20 22 23 29
13 17 23 26 27 31
13 18 21 22 24 29
13 20 21 25 26 27
14 15 19 20 21 22
14 16 17 20 30 31
14 16 17 22 24 28
14 18 21 25 27 31
14 22 26 29 30 31
15 16 19 23 27 31
15 16 21 22 29 32
15 16 23 24 29 30
15 17 18 23 25 29
15 17 18 26 28 31
15 17 20 24 29 32
16 19 21 26 28 29
16 20 22 23 24 26
17 19 21 22 25 26
17 19 22 24 28 31
19 20 25 26 27 31
02 03 04 10 13 18
02 03 04 13 14 21
02 03 05 07 15 31
02 03 05 17 30 31
02 03 06 09 19 28
02 03 06 14 27 28
02 03 07 10 20 26
02 03 08 11 14 31
02 03 08 14 29 32
02 03 08 28 31 32
02 03 09 11 12 32
02 03 10 21 22 27
02 03 11 15 26 27
02 03 12 14 24 30
02 03 12 19 23 26
02 03 13 16 27 29
02 03 13 22 25 28
02 03 14 15 22 31
02 03 17 18 24 25
02 03 20 21 23 29
02 04 05 09 14 16
02 04 05 15 18 27
02 04 06 12 19 22
02 04 07 16 30 31
02 04 07 19 24 32
02 04 07 26 28 29
02 04 08 09 12 26
02 04 08 20 29 31
02 04 09 13 17 31
02 04 10 15 17 19
02 04 11 14 17 18
02 04 11 23 27 30
02 04 12 13 21 25
02 04 12 17 31 32
02 04 15 24 26 28
02 04 16 20 22 24
02 05 06 15 29 32
02 05 06 23 28 31
02 05 07 08 13 22
02 05 07 08 24 25
02 05 07 11 24 31
02 05 09 14 21 30
02 05 09 18 20 31
02 05 10 11 22 24
02 05 10 12 13 14
02 05 11 12 17 29
02 05 11 12 20 23
02 05 11 19 25 26
02 05 13 16 19 22
02 05 14 16 28 32
02 05 16 21 23 25
02 05 19 21 27 28
02 06 07 08 23 32
02 06 07 19 20 31
02 06 08 11 17 20
02 06 08 12 15 16
02 06 09 10 28 32
02 06 09 11 16 24
02 06 09 11 18 25
02 06 09 13 26 32
02 06 10 12 16 26
02 06 10 13 27 31
02 06 13 14 23 26
02 06 14 20 25 28
02 06 17 21 24 26
02 06 18 19 22 30
02 06 25 28 30 31
02 07 09 15 18 21
02 07 09 16 24 25
02 07 10 11 23 30
02 07 11 13 19 29
02 07 11 21 22 28
02 07 12 15 21 29
02 07 12 17 22 27
02 07 13 17 28 30
02 07 14 18 20 27
02 07 15 17 22 26
02 08 09 21 22 27
02 08 10 19 21 32
02 08 10 25 26 27
02 08 13 14 15 18
02 08 13 18 23 28
02 08 14 22 23 28
02 08 16 20 26 30
02 08 17 26 29 30
02 08 18 19 30 31
02 09 10 14 26 29
02 09 10 16 23 25
02 09 11 19 25 30
02 09 13 15 20 32
02 09 14 19 24 29
02 09 16 27 28 30
02 10 11 14 18 29
02 10 15 20 25 30
02 10 24 28 29 30
02 11 16 19 20 27
02 11 16 21 26 31
02 12 13 15 19 28
02 12 13 16 18 26
02 12 13 16 24 25
02 12 17 25 28 31
02 12 18 23 24 31
02 12 22 25 30 32
02 13 15 20 23 24
02 14 16 17 19 27
02 14 17 18 25 32
02 14 20 22 26 32
02 15 17 25 27 32
02 15 22 25 29 31
02 17 21 23 24 30
02 18 19 22 23 32
02 18 19 24 27 29
02 18 20 21 28 31
02 18 24 26 27 32
02 23 25 29 31 32
20 21 23 24 28 30
20 22 23 27 28 32
20 24 26 29 31 32
21 22 23 26 27 32
03 04 05 07 13 15
03 04 05 12 16 22
03 04 06 08 21 25
03 04 06 09 15 17
03 04 06 12 14 19
03 04 07 08 27 28
03 04 07 09 12 20
03 04 08 10 15 32
03 04 08 16 26 29
03 04 09 10 25 29
03 04 09 13 18 24
03 04 11 13 14 16
03 04 11 23 30 31
03 04 12 26 27 31
03 04 13 22 29 30
03 04 17 21 22 32
03 04 17 21 28 30
03 04 17 22 23 24
03 04 18 20 23 25
03 05 06 13 20 24
03 05 07 10 28 30
03 05 07 18 19 23
03 05 08 14 20 25
03 05 08 17 19 29
03 05 09 12 27 29
03 05 09 13 23 32
03 05 09 21 31 32
03 05 09 22 23 30
03 05 10 11 17 24
03 05 11 15 18 27
03 05 12 24 25 28
03 05 15 16 26 32
03 05 21 24 26 29
03 06 07 11 25 27
03 06 07 14 17 29
03 06 08 11 15 23
03 06 08 18 21 31
03 06 09 11 19 24
03 06 10 18 22 26
03 06 12 16 27 30
03 06 12 21 22 23
03 06 13 19 30 32
03 06 13 20 23 26
03 06 15 20 21 30
03 06 16 17 27 29
03 06 16 24 28 31
03 06 18 20 22 32
03 06 25 26 30 32
03 07 08 09 22 26
03 07 08 16 20 27
03 07 08 16 21 24
03 07 09 10 16 18
03 07 09 18 19 27
03 07 11 12 18 21
03 07 11 28 30 31
03 07 13 19 25 31
03 07 14 22 24 32
03 07 15 16 20 28
03 07 17 25 27 30
03 08 09 10 13 21
03 08 09 25 29 30
03 08 12 15 18 30
03 08 12 20 24 32
03 08 16 19 22 30
03 08 17 23 24 27
03 09 12 13 21 29
03 09 14 15 21 26
03 09 14 16 19 20
03 09 14 23 28 31
03 09 15 17 26 28
03 09 16 17 18 30
03 10 11 16 17 25
03 10 12 13 23 28
03 10 12 15 29 31
03 10 13 24 29 31
03 10 14 21 23 27
03 10 16 19 21 22
03 10 19 20 27 32
03 10 19 23 25 32
03 11 13 17 18 21
03 11 19 21 30 31
03 11 20 22 28 29
03 12 13 17 19 20
03 12 14 15 24 28
03 12 14 22 25 26
03 12 19 22 26 29
03 13 14 18 26 31
03 13 14 23 27 30
03 13 21 27 28 32
03 14 16 18 20 32
03 15 16 19 23 32
03 15 16 21 25 28
03 15 19 21 24 25
03 16 18 23 26 30
03 17 20 26 28 31
03 18 28 29 30 32
03 20 22 24 27 31
03 21 25 26 31 32
04 05 06 10 25 30
04 05 06 19 21 31
04 05 07 09 17 19
04 05 08 09 23 30
04 05 08 10 14 16
04 05 09 11 22 26
04 05 10 12 21 27
04 05 11 18 26 32
04 05 11 20 22 31
04 05 13 20 26 28
04 05 17 23 27 29
04 05 18 24 28 29
04 05 19 20 30 32
04 05 21 24 25 32
04 06 07 11 15 25
04 06 07 12 23 24
04 06 08 12 18 25
04 06 08 13 24 30
04 06 09 10 21 27
04 06 09 18 22 31
04 06 10 20 21 26
04 06 11 13 16 23
04 06 11 29 30 32
04 06 12 13 27 32
04 06 14 17 25 26
04 06 14 22 23 29
04 06 16 17 23 28
04 06 18 26 28 32
04 07 08 17 20 28
04 07 08 21 29 32
04 07 09 24 25 26
04 07 10 13 22 23
04 07 10 16 27 32
04 07 11 13 18 21
04 07 11 15 19 21
04 07 11 25 28 29
04 07 12 26 30 32
04 07 14 18 26 30
04 07 16 21 24 30
04 07 26 27 28 32
04 08 09 10 12 31
04 08 09 11 19 31
04 08 09 19 20 23
04 08 11 18 21 23
04 08 12 17 19 32
04 08 13 17 26 27
04 08 14 17 25 31
04 08 15 17 21 25
04 08 15 21 22 29
04 08 15 27 30 31
04 08 19 22 25 27
04 08 21 23 28 30
04 09 10 14 20 30
04 09 11 12 16 26
04 09 16 25 27 32
04 09 22 24 27 30
04 10 11 12 19 28
04 10 11 15 16 24
04 10 12 24 25 31
04 10 15 22 26 31
04 10 17 18 20 30
04 11 13 14 20 28
04 11 20 24 27 31
04 12 13 18 22 28
04 12 14 17 23 32
04 12 14 22 29 32
04 12 15 16 18 20
04 12 23 25 28 29
04 13 15 28 31 32
04 13 16 25 26 29
04 13 20 24 28 30
04 14 15 16 25 27
04 14 15 20 27 29
04 14 15 21 24 27
04 14 17 19 27 32
04 14 18 19 22 26
04 14 19 25 28 30
04 15 19 23 24 26
04 16 18 19 29 31
04 16 20 21 27 29
04 18 21 26 29 30
04 23 24 27 28 31
05 06 07 08 09 32
05 06 07 10 12 32
05 06 07 12 15 22
05 06 07 13 17 18
05 06 08 09 10 16
05 06 08 19 26 27
05 06 09 18 20 29
05 06 10 14 21 29
05 06 11 14 28 31
05 06 11 18 24 30
05 06 13 18 25 29
05 06 14 18 23 24
05 06 15 22 24 30
05 06 17 20 22 25
05 06 17 22 26 28
05 07 09 11 12 14
05 07 10 12 19 31
05 07 10 15 28 31
05 07 14 17 23 26
05 07 16 20 23 29
05 07 16 20 24 27
05 07 21 26 27 30
05 07 25 29 31 32
05 08 09 15 24 31
05 08 10 23 26 30
05 08 11 15 20 28
05 08 11 27 31 32
05 08 12 13 29 31
05 08 12 18 21 22
05 08 16 18 20 31
05 09 10 11 15 25
05 09 10 17 20 27
05 09 10 23 24 27
05 09 12 21 25 28
05 09 13 15 21 26
05 09 14 17 19 25
05 09 22 26 28 29
05 10 11 13 15 21
05 10 15 18 19 20
05 10 16 19 24 26
05 10 18 22 31 32
05 11 13 16 28 29
05 11 13 17 24 30
05 11 17 20 22 30
05 11 19 22 24 32
05 11 22 23 29 31
05 12 16 17 18 26
05 12 16 19 24 27
05 12 18 20 25 27
05 12 20 28 30 31
05 13 14 16 28 30
05 13 14 19 22 27
05 13 16 18 25 30
05 13 17 20 25 26
05 14 15 16 17 31
05 14 15 25 26 29
05 14 19 25 29 30
05 14 27 29 30 32
05 15 17 21 23 31
05 15 22 23 28 30
05 16 17 20 21 32
05 16 22 25 27 31
05 19 23 24 28 32
06 07 08 13 14 30
06 07 09 10 29 31
06 07 09 16 22 26
06 07 09 21 28 30
06 07 10 14 19 25
06 07 11 19 26 31
06 07 15 17 20 24
06 07 16 19 29 30
06 07 16 20 23 27
06 07 21 24 28 32
06 07 21 27 29 31
06 08 09 14 15 27
06 08 10 22 23 29
06 08 12 22 24 28
06 08 12 23 29 31
06 08 13 25 28 30
06 08 14 20 24 32
06 08 17 21 29 30
06 09 11 13 22 27
06 09 12 23 30 31
06 09 12 24 26 29
06 09 13 14 20 22
06 10 11 20 31 32
06 10 14 15 17 30
06 10 15 16 18 24
06 10 19 25 27 28
06 11 12 13 15 26
06 11 12 18 25 29
06 11 14 16 26 27
06 11 17 19 22 23
06 12 15 20 21 27
06 12 16 19 20 25
06 12 17 21 27 30
06 13 15 19 28 29
06 13 16 21 22 31
06 13 18 21 23 32
06 14 15 18 21 23
06 14 16 18 21 32
06 14 17 19 24 31
06 15 16 17 21 32
06 15 23 25 26 31
06 17 18 19 26 29
06 17 19 27 31 32
06 17 20 23 25 31
06 20 26 27 28 30
06 22 24 25 27 29
07 08 10 13 20 28
07 08 10 18 27 29
07 08 11 15 26 29
07 08 11 22 30 31
07 08 12 14 19 21
07 08 13 15 16 17
07 08 18 23 24 28
07 08 18 25 26 31
07 09 11 23 29 32
07 09 13 20 29 30
07 09 14 15 23 28
07 09 14 27 31 32
07 09 19 22 27 29
07 09 21 23 25 32
07 10 12 17 25 26
07 10 13 14 15 25
07 10 13 24 26 27
07 10 17 19 21 32
07 10 17 21 24 31
07 10 17 22 29 30
07 11 12 16 23 24
07 11 13 18 20 32
07 11 14 16 20 21
07 11 15 18 22 24
07 11 17 26 28 32
07 12 13 16 27 32
07 12 15 20 26 31
07 12 18 20 23 30
07 12 20 24 25 29
07 13 14 22 31 32
07 13 15 16 23 31
07 13 21 22 23 26
07 14 15 18 30 32
07 14 16 19 26 28
07 15 19 20 22 28
07 15 19 24 27 30
07 16 17 18 29 31
07 16 18 22 25 28
07 17 19 23 25 30
07 19 21 23 25 29
07 23 24 28 29 31
08 09 10 14 17 18
08 09 10 17 22 24
08 09 12 13 23 27
08 09 12 16 28 29
08 09 17 18 30 32
08 09 19 20 25 28
08 09 22 24 31 32
08 10 11 12 27 30
08 10 12 17 20 22
08 10 14 24 26 28
08 10 16 17 23 31
08 10 19 20 24 29
08 10 21 22 28 31
08 11 12 14 17 21
08 11 12 21 24 26
08 11 13 22 25 32
08 11 14 23 24 29
08 11 16 17 24 25
08 11 16 18 19 28
08 11 23 25 27 32
08 12 15 23 25 27
08 12 22 24 26 31
08 13 14 19 26 32
08 13 15 17 19 26
08 13 15 27 28 29
08 13 16 20 21 31
08 13 19 23 24 25
08 14 18 19 24 30
08 14 20 21 23 26
08 14 22 27 28 29
08 15 18 20 22 26
08 15 21 28 30 32
08 16 20 25 29 32
08 16 23 26 31 32
08 17 18 22 27 30
09 10 11 14 22 32
09 10 12 13 18 19
09 10 12 15 22 24
09 10 15 21 23 29
09 10 15 26 30 32
09 10 19 20 24 26
09 10 19 26 30 31
09 11 12 16 20 21
09 11 13 24 27 28
09 11 15 16 29 30
09 11 15 20 25 31
09 11 16 21 30 32
09 11 17 20 23 26
09 11 17 21 29 31
09 12 14 15 24 32
09 12 14 17 18 22
09 12 15 17 19 30
09 12 16 21 25 31
09 12 16 22 24 28
09 12 18 23 29 32
09 12 20 21 26 32
09 13 14 15 18 29
09 13 15 22 25 30
09 13 16 17 24 32
09 13 16 19 21 23
09 14 16 24 25 26
09 15 16 18 27 28
09 16 17 23 28 29
09 17 20 24 25 28
09 17 21 24 27 31
09 18 19 21 27 30
09 18 21 23 24 31
09 18 23 26 27 29
09 20 22 23 25 30
